2D	2-Dimensional
ANI	Automatic Number Identification (see also: CLID) [Telephony]
ANL	Argonne National Laboratory
ANOVA	ANalysis Of VAriance
ANPA	American Newspaper Publishers Association
ANSI	American National Standards Institute
ANZUS	Australia, New Zealand, United States
AO	Account Of
AOA	Abort Once Around [NASA, Shuttle]
AOA	Abort Once Around (Shuttle abort plan) [Space]
AOL	Absent Over Leave (see AWOL)
AOS	Academic Operating System
AOS	Alternate Operator Service [Telephony]
A/P	Accounts Payable
AP	Additional Premium
AP	All Points
AP	Associated Press [Corporate name]
APA	All Points Addressable
APA	American Psychological Association
APB	All Points Bulletin
APDA	Apple Programmers and Developers Association
API	Application Programming Interface
APICS	American Production and Inventory Control Society
Ap.J	Astrophysical Journal [Space]
APL	A Programming Language
APL	acute promyelocytic leukemia [Disease]
APO	Alpha Phi Omega, service fraternity
APO	Army Post Office
APP	Applications Portability Profile
APPC	Advanced Peer-to-Peer Communications
APR	Annual Percentage Rate (as in loan interest)
APSE	Ada Programming Support Environment
APU	Auxiliary Power Unit [Space]
AQ	Accumulator-Quotient register
A/R	Accounts Receivable
AR	Address Register
AR	Arkansas
ARC	AIDS-related complex
ARC	American Red Cross
ARC	Ames Research Center (NASA) [Space]
ARCNET	Attached Resource Computer local area NETwork
ARO	After Receipt of Order
ARP	Address Resolution Protocol
ARPA	Advanced Research Projects Agency (of the DoD, see DARPA)
ARPANET ARPA (q.v.) NETwork
ARRL	Amateur Radio Relay League
ARV	American Revised Version
AS	Anglo-Saxon
ASA	Acetyl Salicylic Acid
ASAP	As Soon As Possible
ASC	Accredited Standards Committee
ASCAP	American Society of Composers, Authors, and Publishers
ASCC	Automatic Sequence-Controlled Calculator
ASCII	American Standard Code for Information Interchange
ASDIC	Anti-Submarine Detection Investigation Committee (British for sonar)
ASDSP	Application-Specific Digital Signal Processor
ASG	Automated Sciences Group
ASHRAE	Amer. Soc. of Heating, Refrigerating and Air-cond. Engineers, inc.
ASIC	Application Specific Integrated Circuit
ASME	American Society of Mechanical Engineers
ASN	Abstract Syntax Notation One (ISO/CCITT ASN.1)
ASP	Aggregated Switch Procurement
ASRM	Advanced Solid Rocket Motor [Space]
ASSR	Autonomous Soviet Socialist Republic
AST	Atlantic Standard Time
ASV	American Standard Version
AT	Atlantic Time
ATA	Automatic Trouble Analysis 
ATACC	Advanced Tactical Air Command Central
ATB	Advanced Technology Bomber (stealth bomber)
ATC	Air Traffic Control
ATDRS	Advanced Tracking and Data Relay Satellite [Space]
ATF	Advanced Technology Fighter
ATIS	Atherton Tools Interface Specification
ATLAS	Atmospheric Laboratory for Applications and Science [Space]
ATM	Amateur Telescope Maker [Space]
ATM	Asynchronous Transfer Mode
ATM	Automatic Teller Machine
ATO	Abort To Orbit [NASA, Shuttle]
ATO	Abort To Orbit (Shuttle abort plan) [Space]
ATOMS	AT&t Optimized Materials Simulator
ATP	Adenosine TriPhosphate
ATPCO	Airline Tariff Publishing COmpany
AT&T	American Telephone & Telegraph [Corporate name]
ATT	American Telephone & Telegraph (normally written AT&T when seperate)
ATTIS	American Telephone and Telegraph Information Systems [AT&T] (Division)
ATV	All Terrain Vehicle
AU	Astronomical Unit (93,000,000 miles) [Space]
AU	Astronomical Unit [Space]
AUI	Attachment Universal Interface
AURA	Association of Universities for Research in Astronomy [Space]
AUS	Army of the United States
AUTODIN AUTOmatic DIgital Network
AUTOVON AUTOmatic VOice Network
AV	AudioVisual
AVLIS	Atomic Vapor Laser Isotope Separation
AWACS	Airborne Warnings And Control Systems
AWEA	American Wind Energy Association
AWK	al Aho, peter Weinberger, brian Kernighan (pattern scanning language)
AWOL	Absent WithOut Leave (also Absent Without Official Leave) (see AOL)
AW&ST	Aviation Week and Space Technology (a.k.a. AvLeak) [Space]
AXAF	Advanced X-ray Astrophysics Facility [Space]
AZ	Arizona
B	Book
B8ZS	Binary 8 Zero Substitution (see also NRZ, NRZI, AMI)
BA	Bachelor of Arts
BACH	Business Alliance for Commerce in Hemp
BAFO	Best And Final Offer
BARRNet Bay Area Regional Research Network (SF Bay Area)
BASIC	Beginner's All-purpose Symbolic Instruction Code
BATSE	Burst And Transient Source Experiment (on GRO) [Space]
BB	Bases on Balls
BB	Best of Breed
BB	Bunnies and Burrows
BBA	Bachelor of Business Administration
BBB	Better Business Bureau
BBC	British Broadcasting Corporation
BBL	Barrel
BBN	Bolt, Beranek, and Newman, Inc. [Corporate name]
BBXRT	Broad-Band X-Ray Telescope (ASTRO package) [Space]
BC	Battlecars
BC	Before Christ
BC	British Columbia
BC/BS	Blue Cross/Blue Shield
BCD	Bad Conduct Discharge
BCD	Binary Coded Decimal
BCDIC	Binary Coded Decimal Interchange Code
BCE	Before the Common Era (substitute for BC)
BCNU	Be Seeing You [Net jargon]
BCP	Byte Controlled Protocols
BCPL	Basic Combined Programming Language
BCS	Bachelor of Commercial Science
BCS	Binary Compatibility Standard
BCS	Boston Computer Society
BCS	British Computer Society
BD	Bachelor of Divinity
BD	Bank Draft
BD	Bills Discounted
BD&D	Basic Dungeons & Dragons
BDF	Binary Distribution Format
BDT	Billing Data Transmitter
BE	Bill of Exchange
BEF	British Expeditionary Force (see AEF)
BELCORE BELL COmmunications REsearch
BEM	Bug Eyed Monster
BEM	Bug-Eyed Monster [Space]
BENELUX BElgium, NEtherlands, and LUXembourg
BER	Bit Error Rate
BERT	Bit Error Rate Test
BEST	Borland Enhanced Support and Training
BF	Brought Forward
BFA	Bachelor of Fine Arts
BFD	Bristol (RI) Fire Department (probably typical of any town starting "B")
BH	Black Hole [Space]
BH	Boot Hill
BHP	Brake HorsePower
BICS	Building Industry Consulting Services [Telephony]
BID	Bis In Die (twice a day)
BIMA	Berkeley Illinois Maryland Array [Space]
BIOS	Basic Input Output System
BIS	Business Information System
BISDN	Broadband ISDN (q.v.) [Telephony]
BiSync	Binary Synchronous Communications (BSC is preferred) [IBM]
Bit	BInary digiT
BITNET	Because It's Time Network
BLAST	BLocked ASynchronous Transmission
BLERT	BLock Error Rate Test
BLF	Busy Lamp Field [Telephony]
BLT	Bacon, Lettuce, and Tomato (sandwich)
BLT	BLock Transfer [Instruction]
BLT	Branch Less Than [Instruction]
BM	Basal Metabolism
BM	Bowel Movement
BMA	Bank Marketing Association
BMEWS	Ballistic Missile Early Warning
BMO	Ballistic Missile Office
BMOC	Big Man On Campus
BMR	Basal Metabolism Rate
BNC	Bayonet Neill Concelman (connector) [Electronics] (see also TNC)
BNF	Bachus-Naur Form
BO	Body Odor
BO	Branch Office
BO	Buyer's Option
BOC	Bell Operating Company
BOD	Board Of Directors
BOF	Birds Of a Feather
BOM	Bill Of Materials
BOOTP	Bootstrap Protocol [Internet]
BOQ	Bachelor Officers' Quarters
BOS	Business Office Supervisor
BOSIX	Biin Open System Interface eXtension
BP	Blood Pressure
BP	British Petroleum
BP	British Pharmacopoeia
BPI	Bits Per Inch
BPL	Boston Public Library
BPL	Branch if PLus [Instruction]
BPOE	Benevolent and Protective Order of Elks
BPS	Bits Per Second
BR	Bills Receivable
BR	British Rail
BRA	Boston Redevelopment Authority
BRI	Basic Rate Interface (ISDN) [Telephony]
BRIEF	Basic Reconfigurable Interactive Editing Facility
BRL	army Ballistic Research Laboratory
BRS	Bibliographic Retrieval Service
BS	Bachelor of Science
BS	Bill of Sale
BSA	Birmingham Small Arms
BSA	Boy Scouts of America
BSc	Bachelor of SCience
BSC	Binary Synchronous Communications (also sometimes BiSync) [IBM]
BSD	Berkeley Software Distribution
BSN	Bachelor of Science in Nursing
BSS	Block Started by Symbol
BSTJ	Bell System Technical Journal
BT	British Telecom
BTAM	Basic Telecommunications Access Method [IBM]
BThU	British Thermal Unit (BTU {q.v.} is preferred)
BTL	Bell Telephone Laboratories
BTO	Bachman Turner Overdrive
BTU	British Thermal Unit
BTW	By The Way [Net jargon]
BU	Boston University
BUF	B-52 bomber ("Big Ugly Fellow") [USAF]
BV	Blessed Virgin
BWI	Baltimore-Washington International (airport)
BWI	British West Indies
BX	Base eXchange (see also PX)
c	centi- (metric 1/100)
C	programming language (successor to B, which was based on BCPL)
CA	California
CA	Chartered Accountant
CA	Chief Accountant
CA	Chronological Age
CA	Collision Avoidance (as in CSMA/CA (q.v.))
CAB	Civil Aeronautics Board
CACM	Communications of the Association for Computing Machinery
CAD	Computer Aided Design (sometimes seen as CAD/CAM)
CAD	Computer Aided Dispatching
CAE	Common Applications Environment
CAE	Computer Aided Engineering
CAI	Computer Aided Instruction
CAIS	Common Apse Interface Specification
CALS	Computer-aided Acquisition and Logistics Support
CAM	Computer Aided Management
CAM	Computer Aided Manufacturing (sometimes seen as CAD/CAM)
CAM	Content Addressable Memory
CAMA	Centralized Automatic Message Accounting [Telephony]
CAMP	Campaign Against Marijuana Planting
CAP	Civil Air Patrol
CAP	Columbia Appletalk Package
CAR	Contents of the Address part of the Register (LISP)
CARE	Committee on American Relief in Europe
CARP	California Air Resources Board
CASE	Computer Aided Software Engineering
CASSIS	Classification and Search Support Information System
CAT	Computer-Aided Tomography
CATIS	Common Applications and Tools Integration Services
CATV	Common Antenna TeleVision
CATV	Community Antenna TeleVision
CAVU	Ceiling And Visibility Unlimited
CB	Citizens Band radio
CBC	Canadian Broadcasting Corporation
CBD	Cash Before Delivery
CBD	Commerce Business Daily
CBEMA	Computer & Business Equipment Manufacturers Association
CBR	Chemical, Biological, Radiological warfare
CBS	Columbia Broadcasting System [Corporate name]
CBW	Chemical and Biological Warfare
CC	C (language) Compiler
CC	Carbon Copy
CCA	Computer Corporation of America [Corporate name]
CCAFS	Cape Canaveral Air Force Station [Space]
CCC	Canadian Committee on Cataloging
CCC	Civil(ian) Conservation Corps
CCC	Command, Control, and Communications (sometimes C^3)
CCC	Concourse Computer Center [MIT]
CCCCM	CCC CounterMeasures (sometimes C^3CM)
CCCI	Command, Control, Communications, and Intelligence
CCD	Charge Coupled Device (see CID)
CCD	Charge-Coupled Device [Space]
CCDS	Centers for the Commercial Development of Space [Space]
CCF	Hundred Cubic Feet
CCI	Computer Carrier Interrupt
CCI	Computer Consoles, Incorporated
CCIP	Continuously Computed Impact Point
CCIRN	Coordinating Committee for Intercontinental Research Networking
CCIS	Common Channel Interoffice Signaling [Telephony]
CCITT	Comite' Consultatif International Telegraphique et Telephonique
CCITT	Consultative Committee on International Telephony and Telegraphy
CCITT	International Telegraph and Telephone Consultative Committee
CCR	Commitment, Concurrency, and Recovery
CCR	Creedence Clearwater Revival [Music]
CCRI	Community College of Rhode Island [Corporate name]
CCRP	Continuously Computed Release Point
CCS	Hundred Call Seconds [Telephony]
CCS7	Common Channel Signalling (version #7) [Telephony, AT&T]
CCSA	Common Control Switching Arrangement [Telephony]
CCTA	Central Computer and Telecommunications Agency
CCTV	Closed Circuit TeleVision
CD	Carrier Detect (properly DCD (q.v.)) (EIA RS-232-C)
CD	Certificate of Deposit
CD	Civil Defense
CD	Collision Detection (as in CSMA/CD (q.v.))
CD	Compact Disk
CDA	Call Data Accumulator
CDA	Compound Documents Architecture
CDC	Centers for Disease Control
CDC	Control Data Corporation, Inc. [Corporate name]
CDEV	Control panel DEVice
CDIAC	Carbon Dioxide Information Analysis Center
CDO	Community Dial Office
CDR	CommanDeR
CDR	Contents of the Decrement part of the Register (LISP)
CD-ROM	Compact Disk Read Only Memory
CD-ROM	Compact Disk Read-Only Memory [Space]
CDSF	Commercially Developed Space Facility
CDT	Central Daylight Time
CDU	Control Display Unit
CE	Chemical Engineer
CE	Civil Engineer
CE	Common Era (substitute for AD)
CE	Corps of Engineers
CE	Customer Engineer (see also FE, SE)
CEA	Commissariat a l'Energie Atomique (Frenc Atomic Energy Commision)
CEA	Council of Economic Advisors
CEA	County Education Authority
CEC	Commission of the European Communities
CED	Committee for Economic Development
CELSS	Controlled Ecological Life Support System [Space]
CENS	Centre d'Etudes Nucleaires de Seclay
CENTO	CENtral Treaty Organization
CEO	Chief Executive Officer
CERFnet California Education and Research Federation Network
CERN	European Organization for Nuclear Research
CERN	organisation (formerly Conseil) Europeenne pour la Recherche Nucleaires
CERT	Computer Emergency Response Team
CEVI	Common Equipment Voltage Indicator
CF	Carry Forward
CF	Coin First (payphone) [Telephony]
CF	Cystic Fibrosis [Disease]
CFA	Center For Astrophysics [Space]
CFC	Chloro-FluoroCarbon [Chemical]
CFC	Combined Federal Campaign
CFD	Computational Fluid Dynamics
CFHT	Canada-France-Hawaii Telescope [Space]
CFI	Cost, Freight, and Insurance
CFL	Canadian Football League
CFO	Chief Financial Officer
CG	Coast Guard
CG	Commanding General
CGA	Color Graphics Adapter
CGCT	Compagnie Generale de Constructions Telephoniques
CG&E	Cincinnati Gas & Electric
CGE	Compagnie Generale d'Electricite
CH	Cardboard Heroes
CH	ClearingHouse
CH	CourtHouse
CH	Customs House
CHA	Champions
CHAP	CHAnnel Processor
CHARA	Center for High Angular Resolution Astronomy [Space]
CHI	Chill:	Adventures into the Unknown
CHOTS	Corporate Headquarters Office Technology System
CHP	California Highway Patrol
CI	Cubic Inches
CIA	Central Intelligence Agency [US Government]
CIA	Culinary Institute of America (Hyde Park, NY)
CIC	Carrier Identification Codes [Telephony] (10XXX codes)
CIC	Committee on Institutional Cooperation
CIC	Coordination and Information Center [CSNet]
CICA	Competition in Contracting Act
CICS	Customer Information Control System [IBM]
CID	Caller ID [Telephony] (see also: CLID, ANI)
CID	Central Institute for the Deaf
CID	Charge Injection Device (see CCD)
CID	Computer Integrated Design
CIDIN	Common Icao Data Interchange Network
CIM	Computer Integrated Manufacturing
CIO	Chief Information Officer
CIRRIS	Cryogenic InfraRed Radiance Instrument for Shuttle [Space]
CISC	Complex Instruction Set Computer
CIT	California Institute of Technology
CIT	Case Institute of Technology (part of CWRU, Cleveland, OH)
CIT	Circumstellar Imaging Telescope [Space]
CLASP	Comprehensive Logistics Automated Support Program
CLASS	Custom Local Area Signaling Service [Telephony]
CLI	Command Line Interpreter
CLID	Calling Line ID [Telephony] (see also: CID, ANI)
CLNP	Connectionless-mode Network Protocol
CLNS	Connectionless-mode Network Service
CLR	Combined Line and Recording
CLRC	Circuit Layout Record Card
CLU	Chartered Life Underwriter
CLUT	Color LookUp Table
cm	centimeters
CM	Command Module (Apollo spacecraft) [Space]
CM	Congregation of the Mission
CMC	Communication Machinery Corp.
CMD	Centralized Message Distribution
CMIP	Common Management Information Protocol
CMIS	Common Management Information Services
CML	Current Model Logic
CMMU	Cache/Memory Management Unit
CMOS	Complementary Metal Oxide Semiconductor (see MOS)
CMOT	Common Management Information Services and Protocol Over TCP/IP
CMRR	Common Mode Rejection Ratio
CMS	Circuit Maintenance System
CMSgt	Chief Master Sergeant
CMU	Carnegie-Mellon University
CMYK	Cyan, Magenta, Yellow, blacK
CN	Canadian National [Corporate name, Railroading]
CN/A	Customer Name / Address [Telephony]
CNI	Common Network Interface [Telephony, AT&T] (Department of AT&T)
CNN	Cable News Network
CNO	Carbon-Nitrogen-Oxygen [Space]
CNO	Chief of Naval Operations
CNR	Canadian National Railways
CNR	Carrier to Noise Ratio
CNRI	Corporation for National Research Initiatives
CNRS	Centre National de la Recherche Scientifique (French National Center for Scientific Research)
CNS	Central Nervous System
CNSR	Comet Nucleus Sample Return [Space]
CO	Cash Order
CO	Central Office [Telephony]
CO	Colorado
CO	Commanding Officer
CO	Conscientious Objector
C/O	in Care Of
COB	Close Of Business
COBE	COsmic Background Explorer [Space]
COBOL	COmmon Business Oriented Language
COC	Call of Cthulhu
COCOT	Customer Owned, Coin Operated Telephone [Telephony]
COD	Collect On Delivery; Cash On Delivery
CODEC	COder-DECoder
COER	Central Office Equipment Report
COLA	Cost-Of-Living Allowance
COM	Computer Output (on) Microfiche
COM	Computer Output (on) Microfilm
COMAS	Central Office Maintenance and Administration System
COMM	Communications
COMPACT COMmercial Product ACquisition Team
COMPTEL COMPton TELescope (on GRO) [Space]
COMSAT	Communications Satellite [Space]
CONACYT Consejo Nacional de Cienca Y Tecnologia (Mexican National Council of Science and Technology)
CONS	Connection-Oriented Networking Service
CONS	Connection-Oriented Networking Session
CONS	CONStruct (LISP)
CORE	COntrolled Requirement Expression
CORN	COmputer Resource Nucleus
COS	Corporation for Open Systems
COSINE	Cooperation for Open Systems Interconnection Networking in Europe
COSMIC	COmmon System Main InterConnecting frame
COSMIC	COmputer Software Management and Information Center
COSMOS	COmputer System for Mainframe OperationS
COSTAR	Corrective Optics Space Telescope Axial Replacement [Space]
COT	Card Or Tape (NCR)
CP	Campus Police (MIT, others probably too)
CP	Canadian Pacific
CP	Chemically Pure
CP	Command Post
CP	Command Processor
CP	CoPy
CP	the Canadian Press
CPA	Certified Public Accountant
CPE	Customer Premises Equipment
CPE	Customer Provided Equipment
CPFF	Cost Plus Fixed Fee
CPI	Characters Per Inch
CPI	Common Programming Interface
CPL	Combined Programming Language
CPM	Control Program for Microcomputers (sometimes CP/M)
CPM	Control Program Monitor (sometimes CP/M)
CPO	Chief Petty Officer
CPO	Chief Post Office
CPR	Canadian Pacific Railway
CPS	Characters Per Second
CPSR	Computer Professionals for Social Responsibility
CPT	CaPTain
CPU	Central Processing Unit
CPW	Certified Public Weigher
CQ	Change of Quarters
CR	Carriage Return (ASCII 15 octal)
CRA	Cambridge Redevelopment Authority
CRAF	Comet Rendezvous / Asteroid Flyby [Space]
CRAM	Card Random Access Memory (NCR, but maybe others)
CRC	Chemical Rubber Company
CRC	Cyclic Redundancy Check
CREG	Concentrated Range Extension with Gain
CREN	The Corporation for Research and Educational Networking (merge of BITNET and CSNet)
CRRES	Combined Release / Radiation Effects Satellite [Space]
CRRES	Combined Release and Radiation Effects Satellite [NASA]
CRT	Cathode Ray Tube (also generic reference to a terminal)
CRTC	Canadian Radio-television and Telecommunications Commission
C&S	Chivalry & Sorcery
CS	Civil Servant
CS	Computer Science; Computing Science
CS	County Seat
CSA	Confederate States of America
CSAB	Computing Sciences Accreditation Board
CSACS	Centralized Status, Alarm and Control System
CSC	Computer Sciences Corporation
CSDC	Circuit Switched Digital Capability
CSF	Critical Success Factor
CSI	Commercial Systems Integration
CSIS	Canadian Security and Intelligence Service
CSL	Coin Supervising Link 
CSM	Command and Service Module (Apollo spacecraft) [Space]
CSM	Command Sergeant Major
CSMA	Carrier Sense Multiple Access
CSMA/CA Carrier Sense Multiple Access with Collision Avoidance
CSMA/CD Carrier Sense Multiple Access with Collision Detection
CSNET	Computer + Science Network (merged with BITNET to make CREN)
CSO	Central Services Organization
CSOC	Consolidated Space Operations Center (at Colorado Springs)
CSP	Control Switching Point
CSR	Control and Status Register
CSR	Customer Service Representative [Telephony]
CSRG	Computer Systems Research Group
CSRS	civil Service Retirement System
CSS	Customer Switching System
CST	Central Standard Time
CSU	Channel Service Unit
CT	Central Time
C&T	Communications & Tracking [Space]
CT	Connecticut
CTC	Canadian Transport Commission
CTC	Centralized Traffic Control [Railroading]
CTD	Computing and Telecommunications Division
CTIO	Cerro Tololo Inter-american Observatory
CTIO	Cerro Tololo Interamerican Observatory [Space]
CTNE	Compania Telefonica Nacional de Espana
CTS	Clear To Send (EIA RS-232-C)
CTS	Compatible Timesharing System
CTV	Canadian TeleVision network
CU	Close-Up
CUA	Common User Access
CUL	See You Later [Net jargon]
CV	Curriculum Vitae
CW	Car Wars
CW	Chemical Warfare
CW	Child Welfare
CW	Churchwarden
CW	Churdwarden
CW	Continuous Wave
CWO	Cash With Order
CWO	Chief Warrant Officer
CWRU	Case Western Reserve University
CXI	Common X-windows Interface
CY	Calendar Year
CYO	Catholic Youth Organization
CZ	Canal Zone
D	Depth
DA	Days after Acceptance
DA	Department of Agriculture
DA	Deposit Account
D/A	Digital to Analog converter
DA	Directory Assistance (/C = computerized, /M = Microfilm) [Telephony]
DA	District Attorney
DA	Don't Answer [Telephony] (may be more general)
DAC	Digital to Analog Converter
DA/C	Directory Assistance/Computerized
DACCS	Digital Access Cross Connect System [Telephony] (suspect, see DACS)
DACS	Digital Access Cross-connect System [Telephony]
DAD	Draft ADdendum
DAG	Directed Acyclic Graph
DAL	Dedicated Access Line [Telephony]
DA/M	Directory Assistance/Microfilm
DAP	Division Advisory Panel (of NSF (q.v.) DNCRI (q.v.))
DAR	Daughters of the American Revolution
DARE	Drug Abuse Resistance Education
DARPA	Defense Advanced Research Projects Agency (of the DoD, see also ARPA)
DASD	Direct Access Storage Device
DAT	Digital Audio Tape
DATA	Defense Air Transport Administration
DAV	Disabled American Veterans
DB	DataBase
db	decibel(s)
dba	doing business as
DBF	DBase Format
DBME	DataBase Managment Environment
dbms	DataBase Management System (rdbms for Relational ...)
DBRAD	Data Base Relational Application Directory
DC	Direct Current (dc, see also AC)
DC	District of Columbia
DCA	Defense Communications Agency
DCA	Distributed Communication Architecture
DCA	Document Content Architecture
DCC	Descriptive Cataloging Committee
DCCO	Defense Commercial Communications Office
DCD	Data Carrier Detect (sometimes CD (q.v.)) (EIA RS-232-C)
DCE	Data Communication Equipment
DCL	Digital Command Language
DCP	Distributed Communications Processor
DCTS	Dimension Custom Telephone Service
DD	Daredevils
DD	Data Dictionary
DD	Days after Date
DD	Demand Draft
DD	Dishonorable Discharge
DD	Disk Drive
DD	Doctor of Divinity
D&D	Dungeons & Dragons
DDC	Digital Data Converter
DDCU	DC-to-DC Converter Unit [Space]
DDD	Direct Distance Dialing [Telephony] (principally US, elsewhere STD)
DDL	Document Description Language
DDN	Defense Data Network
DDP	Distributed Data Processing
DDS	Dataphone Digital Service [AT&T]
DDS	Digital Data Service
DDS	Direct Digital Service
DDS	Doctor of Dental Science
DDS	Doctor of Dental Surgery
DDT	DEC Debugging Tape
DDT	Di-<something> (pesticide)
DDT	Dynamic Debugging Technique
DE	Delaware
DEA	Drug Enforcement Agency [US Government]
DEAR	Department of Energy Acquisition Regulation
DEC	Digital Equipment Corporation [Corporate name]
DECUS	Digital Equipment Corporation Users Society
DES	Data Encryption Standard [NIST]
DEW	Distant Early Warning (as in DEW Line)
DF	Damage Free
D/F	Direction Finding
DFC	Distinguished Flying Cross
DFD	Data Flow Diagram
DFE	Data Flow Editor
DFM	Distinguished Flying Medal
DFN	Deutsche Forschungsnetz Verein (German Research Network Association)
DFRF	Dryden Flight Research Facility [Space]
DFS	Depth-First Search
