K	Kilo- (metric 1000)
MAST	Multi-Application SOnar Trainer
MAT-CALS	Marine Air Traffic-Control And Landing System
MAU	Math Acceleration Unit
MAU	Media Access Unit
MAU	Medium Access Unit
MB	Manned Base [Space]
MB	MegaByte
MBA	Master Business Administration
MBTA	Massachusetts Bay Transportation Authority
MC	Master of Ceremonies
MCA	Micro Channel Architecture
MCAE	Mechanical Computer Aided Engineering
MCC	Master Control Console
MCC	Microelectronics and Computer technology Corporation
MCC	Mission Control Center [Space]
MCP	Master Control Program
MCP/AS	Master Control Program/Advanced System
MCPO	Master Chief Petty Officer
MCSV	Mars Crew Sortie Vehicle [NASA OEXP]
MD	Doctor of Medicine
MD	Maryland
MD	Maryland [US state postal designation]
MD	Medical Doctor
MD	Months after Date
MDAS	Magnetic Drum Auxiliary Sender
MDC	Metropolitan District Commision (Mass State Agency)
MDE	Modular Design Environment
MDF	Main Distribution Frame [Telephony]
MDRE	Mass Driver Reaction Engine [Space]
MDT	Mean Down Time
ME	Maine
ME	Mechanical Engineer
MECO	Main Engine CutOff [Space, Shuttle]
MEd	Master of EDucation
MERP	Middle-Earth Role Playing
MeV	Million Electron Volts
MF	Medium Frequency (300-3000KHz)
MF	Middle French
MF	Multi-Frequency [Telephony]
MFA	Master Fine Arts
MFA	Museum of Fine Arts [Boston]
MFJ	Modified Final Judgment [Telephony]
MFLOPS	Million FLoating-point OPerations per Second (see also FLOPS)
MFM	Modified Frequency Modulation
MFS	Macintosh File System
MG	Machine Gun
MG	Major General
MG	Military Government
MGH	Massachusetts General Hospital
MGM	Metro-Goldwyn Mayer [Corporate name]
MHD	MagnetoHydroDynamics
MHS	Mail Handling System [ISO]
MHz	Mega HertZ (unit of frequency, 1,000,000 cycles per second)
MI	Michigan
MI	Military Intelligence
MIA	Missing In Action
MIB	Management Information Base
MIDI	Musical Instrument Digital Interface
MIFASS	Marine Integrated Fire And Support System
MILNET	MILitary NETwork
MIM	Morality In Media
MIMD	Multiple Instruction, Multiple Data
MINCE	MINCE Is Not Complete Emacs
MINE	MINE Is Not Emacs (but it is mine)
MIPS	Million Instructions Per Second
Mir	Peace [Russian]
MIRV	Multiple Independently-Targetable Reentry Vehicle
MIS	Management Information System
MIT	Massachusetts Institute of Technology
ML	Middle Latin
mL	milliliter(s)
MLA	Member of Legislative Assembly (see MPP)
MLD	Minimum Lethal Dose
MLL	Mars Logistics Lander [NASA OEXP]
MLS	Microwave Landing System
MLS	Multi-Level Security
MLV	Medium Lift Vehicle [NASA OEXP]
MM	Maryknoll Missioners
mm	millimeters
MMES	Martin Marietta Energy Systems
MMFS	Manufacturing Message Format Standard
MMH	MonoMethyl Hydrazine [Space]
MMM	see 3M
MMT	Multiple Mirror Telescope [Space]
MMU	Manned Maneuvering Unit [Space]
MMU	Memory Management Unit
MMW	Multi-Mega Watt [Space]
MN	Minnesota
MNA	Member of National Assembly (Quebec)
MNP	Microcom Networking Protocol [Corporate name]
MNRAS	Monthly Notices of the Royal Astronomical Society [Space]
MO	Mail Order
MO	Medical Officer
MO	Missouri
MO	Modus Operandi
MO	Money Order
MOC	Mars Observer Camera (on Mars Observer) [Space]
MOD	Ministry of Defence (UK) (sometimes written MoD)
MOL	Manned Orbiting Laboratory [Space]
MOLA	Mars Observer Laser Altimeter (on Mars Observer) [Space]
MOMA	Museum of Modern Art [New York]
MOMV	Manned Orbital Maneuvering Vehicle [Space]
MOR	Middle-Of-the-Road
MOS	Metal Oxide Semiconductor
MOSFET	Metal Oxide Semiconductor Field Effect Transistor
MOTAS	Member Of The Appropriate Sex
MOTIS	Member Of The Inappropriate Sex
MOTIS	Message-Oriented Text Interchange System
MOTOS	Member of the Opposite Sex
MOTSS	Member of the Same Sex
MOTV	Manned Orbital Transfer Vehicle [Space]
MOU	Memorandum Of Understanding
MOUSE	Minimum Orbital Unmanned Satellite of Earth
MP	Melting Point
MP	Member of Parliament
MP	Metropolitan Police
MP	Military Police(man)
MPC	Minor Planets Circular [Space]
MPE	Mission to Planet Earth [Space]
MPG	Miles Per Gallon
MPH	Miles Per Hour
MPP	Member of Provincial Parliament (Canada; also MLA)
MPR	Mars Pressurized Rover [Space]
MPV	Mars Piloted Vehicle [NASA OEXP]
MPW	Macintosh Programmer's Workshop
MR	Miniatures Rules
MRI	Magnetic Resonance Imaging
MRP	Manufacturing Requirements Planning
MRSR	Mars Rover and Sample Return [Space]
MRSRM	Mars Rover and Sample Return Mission [Space]
MS	ManuScript
MS	Master of Science
MS	Military Science
MS	Motor Ship
MS	Multiple Sclerosis
MSB	Most Significant Bit; Most Significant Byte
MSC	MicroSoft C
MSCP	Mass Storage Control Protocol
MSD	Most Significant Digit
MS-DOS	MicroSoft DOS
MSE	Mobile Subscriber Equipment
MSFC	(George C.) Marshall Space Flight Center (NASA) [Space]
MSFC	Marshall Space Flight Center
MSG	MonoSodium Glutamate
MSH	Marvel Super Heroes
MSL	Mean Sea Level
MSPCA	Massachussetts Society for the Prevention of Cruelty to Animals
MSPE	Mercenaries, Spies & Private Eyes
MSRP	Manufacturer's Suggested Retail Price
MSS	Management Support System
MSS	ManuScriptS
MSS	Mass Storage System
MSS	Maximum Segment Size [TCP/IP] (see also MTU)
MST	Mountain Standard Time
MT	Metric Ton
MT	Mountain Time
MTA	Message Transfer Agent
MTA	Metropolitan Transportation Authority
MTBF	Mean Time Between Failures
MTC	Man Tended Capability [Space]
MTR	Magnetic Tape Recording
MTSO	Mobile Telephone Switching Office [Telephony]
MTTF	Mean Time To Failure
MTTR	Mean Time To Recovery
MTTR	Mean Time To Repair
MTU	Maximum Transfer Unit [Networking] (see also MSS)
MTV	Music TeleVision
MUF	Maximum Usable Frequency (max freq during sunspot activity)
MULTICS MULTiplex Information Computer Services
MUMPS	Mgh Utility MultiProgram System
MUNG	Mung Until No Good (see the hacker's dictionary)
MUX	MUltipleXor
MVA	MegaVolt Ampere
MVS	Multiple Virtual Storage [IBM]
MX	Missile eXperimental
N	North
N	Notice
NA	Narcotics Anonymous
NA	North America
NA	Not Applicable
NAACP	National Association for the Advancement of Colored People
NAAS	North American Automated Systems co.
NAB	National Association of Broadcasters
NABISCO NAtional BIScuit COmpany [Corporate name]
NACCIRN North American Coordinating Committee for Intercontinental Research Networking (see also CCIRN)
NACS	National Advisory Committee on Semiconductors
NAD	Network Access Device
NADGE	NATO Air Defense Ground Environment
NAG	Numerical Algorithms Group
NAGE	National Association of Government Employees
NAK	Negative AcKnowledge
NAM	Name and Address Module [Telephony] (cellular phone changeable ROM)
NAM	National Account Manager [Telephony, AT&T]
NAM	Number Assignment Module [Telephony] (cellular phone changeable ROM)
NANP	North American Numbering Plan
NAPAP	National Acid Precipitation Assessment Program
NAR	Nuclear Acoustic Resonance
NARDAC	NAvy Regional Data Automation Center
NAS	National Academy of Sciences
NAS	National Advanced Systems
NASA	National (US) Aeronautics and Space Administration [Space]
NASDA	NAtional (Japan) Space Development Agency [Space]
NASM	National (US) Air and Space Museum [Space]
NASP	National (US) AeroSpace Plane [Space]
NATO	North Atlantic Treaty Organization
NAVDAC	NAVal Data Automation Command
NAVSWC	NAVal Surface Weapons Center
NB	New Brunswick
NB	Nota Bene
NBA	National (US) Basketball Association
NBC	National (US) Broadcasting Company [Corporate name]
NBFM	NarrowBand Frequency Modulation
NBO	Network Build Out
NBS	National Bureau of Standards (renamed NIST) [US Government]
NBVM	Narrow Band Voice Modulation
NC	No Charge
NC	No Connection
NC	North Carolina
NCA	Network Control Analysis
NCC	National (US) Computer Conference
NCC	National (US) Council of Churches
NCDC	National (US) Climatic Data Center
NCE	New Catholic Edition
NCGA	National (US) Computer Graphics Association
NCI	National (US) Cancer Institute [US Government]
NCIC	National (US) Cartographic Information Center
NCO	Non-Commissioned Officer
NCP	Network Control Program
NCR	National (US?) Cash Register [Corporate name]
NCS	Network Computing System
NCSA	National (US) Center for Supercomputing Applications
NCSC	National (US) Computer Security Center [NSA]
NCTL	National Computer and Telecommunications Laboratory
NCV	No Commercial Value
ND	No Date
ND	North Dakota
NDA	Non-Disclosure Agreement
NDDL	Neutral Data Definition Language
NDE	News Development Environment
NDEA	National (US) Defense Education Act
NDL	Network Database Language
NDP	New Democratic Party (Canada)
NDSL	National (US) Defense Student Loan
NDSL	National (US) Direct Student Loan
NDT	Newfoundland Daylight Time
NDV	NASP Derived Vehicle
NDV	NASP Derived Vehicle [Space]
NE	New England
NE	North East
NEAR	National Electronic Accounting and Reporting system
NEARnet New England Academic and Research Network
NEB	New English Bible
NEC	Nippon Electric Company [Corporate name]
NEI	Not Elsewhere Included
NES	National Energy Strategy
NES	Not Elsewhere Specified
NESC	National Energy Software Center
NET	National (US) Educational Television
NET	NETwork
NET	New England Telephone
NEWS	Network extensible Window System
NEXRAD	NEXt generation weather RADar
NF	No Funds
NFC	National (US) Football Conference
NFFE	National (US) Federation of Federal Employees
NFL	National (US) Football League
NFS	Network File System
NG	National Guard
NG	No Good
NGC	New General Catalog [Space]
NH	New Hampshire
NHI	National Health Insurance
NHL	National (Canada) Hockey League
NHLBI	National Heart, Lung, and Blood Institute (Bethesda, MD)
NIC	Network Information Center ("The NIC" is NIC.DDN.MIL)
NICMOS	Near Infrared Camera / Multi Object Spectrometer (HST upgrade) [Space]
NIFTP	(a file transfer network in the UK)
NIH	National (US) Institutes of Health
NIH	Not Invented Here
NIM	Nuclear Instrumentation Module (an electronic instr. standard)
NIMH	National Institute of Mental Health (Rockville, MD)
NIMS	Near-Infrared Mapping Spectrometer (on Galileo) [Space]
NIR	Near InfraRed [Space]
NIS	Network Information System (formerly yp)
NISO	National Information Standards Organization
NIST	National Institute of Standards and Technology (formerly NBS) [US Government]
NJ	New Jersey
NJB	New Jersey Bell [Telephony]
NL	National League (baseball)
NLM	National Library of Medicine
NLP	Natural Language Processing
NLRB	National Labor Relations Board
NLS	Network License Server
NM	Nautical Mile
NM	New Mexico
NM	Night Message
NM	No Mark; Not Marked
NMOS	N channel Metal Oxide Semiconductor (N-MOS) (see MOS)
NMR	Nuclear Magnetic Resonance
NMS	Network Monitoring Station
NNE	North North East
NNTP	Net News Transfer Protocol
NNW	North North West
NNX	NANP syntax for a three-digit string, N:{2-9}, X:{0-9} [Telephony]
NOA	NSWC Office Automation
NOAA	National Oceanic and Atmospheric Administration [Space, US Government]
NOAO	National (Tucson, AZ, US) Optical Astronomical Observatories [Space]
NOC	Network Operations Center
NORAD	NORth American Defense Command
NORM	Naturally Occuring Radioactive Material
NORML	National Organization for the Reform of Marijuana Laws
NOS	Not Otherwise Specified
NOSC	Naval Ocean Systems Center
NOTIS	Network Operator Trouble Information System
NOW	Negotiable Order for Withdrawal [Banking] (Is this MA or NE specific?)
NOx	Nitrogen Oxides
NP	No Protest
NP	Nondeterministic-Polynomial
NP	Notary Public
NP	Noun Phrase
NPA	Numbering Plan Area (area code) [Telephony]
NPC	Non-Player Character (see PC) [Role-playing]
NPL	National Physical Laboratory (UK)
NPL	Non-Procedural Language
NPN	Negative-Positive-Negative (transistor)
NPN	NonProtein Nitrogen
NPR	National Public Radio
NPR	non-Processor Request [PDP11, UNIBUS]
NQS	Network Queuing System
NRA	National Reconstruction Act (FDR era US)
NRA	National Rifle Association
NRAO	National Radio Astronomical Observatory [Space]
NRC	National Research Council
NRC	Nuclear Regulatory Commission
NRE	Non-Recurring Engineering (as in NRE costs)
NREN	National (US) Research and Education Network
NRL	Naval Research Labs
NRO	National Reconnaissance Office
NRO	National Reconnaissance Organization [Space]
NRZ	Non-Return to Zero
NRZI	Non-Return to Zero Inverted (magnetic tape, 800 bpi)
NS	Neutron Star [Space]
NS	Not Specified
NS	Nova Scotia
NS	Nuclear Ship
NSA	National Security Agency [US Government]
NSAP	Network Service Access Point [OSI, Networking]
NSC	National (US) Security Council [US Government]
NSE	Network Software Environment
NSF	National (US) Science Foundation [US Government]
NSS	Nodal Switching System [NSFnet]
NSSDC	National Space Science Data Center [Space]
NST	Newfoundland Standard Time
NSTS	National Space Transportation System [Space]
NSW	New South Wales (Australia)
NSWC	Naval Surface Warfare Center
NSWC	Naval Surface Weapons Center
NT	New Testament
NT	Newfoundland Time
NT	Northern Territory
NTEU	National Treasury Employees Union
NTIS	National Technical Information Service
NTN	Neutralized Twisted Nematic
NTP	Network Time Protocol [Internet]
NTP	Normal Temperature and Pressure (see STP)
NTSB	National Transportation Safety Board [US Government]
NTSC	National Television Standards Committee
NTSC	Never Twice Same Color
NTT	New Technology Telescope [Space]
NTT	Nippon Telephone & Telegraph
NU	Name Unknown
NURBS	NonUniform Rational B-Spline
NUSC	Naval Underwater Systems Center [US Government]
NV	Nevada
NW	North West
NWNET	NorthWestNet
NWS	National Weather Service
NWT	North West Territories (Australia)
NXX	NANP syntax for a three-digit string, N:{2-9}, X:{0-9} [Telephony]
NY	New York
NYC	New York City
NYNEX	New York and New England (Telephone)
NYPD	New York Police Department
NYSE	New York Stock Exchange
NYSERNet	New York State Educational and Research Network
NZ	New Zealand
NZUSUGI New Zealand Unix System User Group, Inc.
OA	Office Automation
OA	Overeaters Anonymous
OAO	Orbiting Astronomical Observatory [Space]
OAS	Organization of American States
OATS	Office Automation Technology and Services
OBE	Order of the British Empire
OBS	Omni Bearing Selector
OC	Order of Canada
OCDM	Office of Civil Defense and Mobilization
OCI	Out of City Indicator
OCLC	Online Computer Library Center, Inc.
OCLC	Online Computer Library Center (Ohio College Library Catalog)
OCO	Object Code Only
OCR	Optical Character Recognition
OCS	Officer Candidate School
OCST	Office of Commercial Space Transportation [Space]
OD	Doctor of Optometry
OD	Oculus Dexter (right eye)
OD	Officer of the Day
OD	OverDose
ODI	Optical Digital Image
ODISS	Optical Digital Image Storage System
ODT	Octal Debugging Technique
ODT	Online Debugging Technique
OE	Old English
OED	Oxford English Dictionary
OEM	Original Equipment Manufacturer
OEO	Office of Economic Opportunity
OES	Order of the Eastern Star
OEXP	Office of Exploration [NASA]
OF	Old French
OFM	Order of Friars Minor
OFS	Order of Free State
OG	Original Gum
OH	Ohio
OIRA	Office of Information and Regulatory Affairs
OIU	Office Interface Unit
OJT	On the Job Training
OLTP	On-Line Transaction Processing
OMB	Office of Management and Budget [US Government]
OMD	Orchestral Manouevers in the Dark
OMS	Orbital Maneuvering System [Space]
OMV	Orbital Maneuvering Vehicle [Space]
ON	Old Norse
ONC	Open Network Computing
ONI	Office of Naval Intelligence
ONI	Operator Number Identification [Telephony]
ONR	Office of Naval Research
OOP	Object Oriented Programming
OOPART	Out Of Place ARTifact
OOPS	Object-Oriented Programming System
OP	Observation Post
OP	OFFICEPOWER office automation system, trademark of CCI
OP	Order of Preachers
OP	Out of Print
OPEC	Organization of Petroleum Exporting Countries
OPF	Orbiter Processing Facility [Space]
OPM	Office of Personnel Management
OPUS	Obvious Password Utility System (Eugene Spafford <Spaf@Purdue.Edu>)
OR	Operating Room
OR	Oregon
OR	Owner's Risk, Own Risk
ORFEUS	Orbiting and Retrievable Far and Extreme Ultraviolet Spectrometer [Space]
ORNL	Oak Ridge National Laboratory
OROM	Optical Read Only Memory
OS	Oculus Sinister (left eye)
OS	Operating System
OS	Ordinary Seaman
OS	Out of Stock
OSB	Order of St. Benedict
OSC	Orbital Sciences Corporation [Space]
OSCAR	Orbiting Satelite Carry Amateur Radio (1st launched 12 Dec 1961)
OSCAR	Orbiting Satellite Carry Amateur Radio (1st launched 12 Dec 1961)
OSCAR	Orbiting Satellite Carrying Amateur Radio [Space]
OSCRL	Operating System Command Response Language
OSD	Office of the Secretary of Defense
OSDIT	Office of Software Development and Information Technology
OSF	Open Software Foundation
OSF	Open Systems Foundation
OSF	Order of St. Francis
OSHA	Occupational Safety and Health Administration [US Government]
OSI	Office of Scientific Integrity [NIH]
OSI	Open Systems Interconnection (per ISO; 7 layer model)
OSI/RM	Open Systems Interconnection/Reference Model
OSME	Open Systems Message Exchange
OSP	Optical Storage Processor
OSPFIGP Open Shortest-Path First Internal Gateway Protocol [Internet]
OSS	Office of Strategic Services (later CIA)
OSS	Office Support System
OSS	Operation Support System [Telephony, AT&T]
OSSA	Office of Space Science and Applications [Space]
OSSE	Oriented Scintillation Spectrometer Experiment (on GRO) [Space]
OSTP	Office of Science and Technology Policy
OSTP	(White House) Office of Science and Technology Policy [US Government]
OT	Old Testament
OT	OverTime
OTA	Office of Technical Assistance
OTA	Office of Technology Assessment
OTA	Optical Telescope Assembly (on HST) [Space]
OTB	Off-Track Betting
OTC	Over The Counter (stocks)
OTF	Open Token Foundation
OTH-B	Over The Horizon - Backscatter (as in radar)
OT&LF	Open Taxi & Limousine Foundation
OTR	On The Rag
OTS	Officers' Training School
OTV	Orbital Transfer Vehicle [Space]
OUTWATS OUTward Wide Area Telephone Service [Telephony]
OV	Orbital Vehicle [Space]
OV	Orbiter Vehicle [Space]
PA	Pennsylvania
PA	Per Annum
PA	Play Aid
PA	Power of Attorney
PA	Press Agent
PA	Private Account
PA	Public Address
PA	Purchasing Agent
PABX	Private Automatic Branch eXchange [Telephony]
PACCOM	Pacific Computer Communications network consortium [Networking]
PACX	Private Automatic Computer eXchange
PAD	Packet Assembler-Disassembler [Networking]
PAH	Polycyclic Aromatic Hydrocarbon
PAL	Phase Alternation Line-rate
PAL	Programmable Array Logic
PAM	Payload Assist Module [Space]
PAM	Pulse Amplification Modulation
PARC	Palo Alto Research Center, xerox
PASS	Personal Access Satellite System [NASA]
PATROL	Program for Administrative Traffic Reports On Line
PBM	Play By Mail game
PBS	Public Broadcasting System
PBX	Private Branch eXchange [Telephony]
PC	Peace Corps
PC	PerCent; PerCentage
PC	Personal Computer (IBM wants you to believe a specific kind)
PC	Player Character (see NPC) [Role-playing]
PC	Post Card
PC	Post Cibum (after meals)
PC	Privileged Character
PC	Privy Council
PC	Program Counter
PC	Progressive Conservative party [Canada]
PC	Providence College
PC/AT	Personal Computer/Advanced Technology
PCB	PolyChlorinated Biphenyl
PCB	Printed Circuit Board
PC-DOS	Personal Computer DOS
PCI	Panel Call Indicator
PCIE	President's Council on Integrity and Efficiency
PCL	Printer Command Language
PCM	Plug-Compatible Mainframe
PCM	Pulse Code Modulation
PCPC	Personal Computers Peripheral Corporation
PCS	Permanent Change of Station
PCTE	Portable Common Tools Environment
PCTS	Posix Conformance Test Suite
PD	Per Diem
PD	Police Department
PD	Potential Difference
PD	Public Domain
PDAD	Proposed Draft ADdendum
PDE	Partial Differential Equation
PDES	Product Data Exchange Specifications
PDF	Program Development Facility
PDL	Page Description Language
PDL	Program Design Language
PDN	Public Data Network
PDP	Plasma Display Panel
PDP	Programmed Data Processor
PDP	Programmed Data Processor [DEC]
PDQ	Pretty Damned Quick
PDS	Premises Distribution System [AT&T]
PDT	Pacific Daylight Time
PE	Phase Encoded
PE	Physical Education
PE	Prince Edward island
PE	Printer's Error
PE	Professional Engineer
PE	Protestant Episcopal
PEI	Prince Edward Island
PEP	Productivity Enhancement Project
PEPE	Pepe Est Presque Emacs
PERL	Pathologically Eclectic Rubbish Lister
PERL	Practical Extraction and Report Language
PEX	Phigs/phigs+ Extension to X
PFC	Plasma Fusion Center [MIT]
PG	Parental Guidance (suggested) [Movie rating]
PGA	Professional Graphics Adapter
PGA	Pure Grain Alcohol
PHA	Pulse Height Analyzer (or Analysis)
PHIGS	Programmers Hierarchical Interactive Graphics System
PHS	Public Health Service
PhysRev Physical Review Journal	  - Phys Rev
PI	Principal Investigator
PI	Priority Interrupt
PI	Private Investigator
PIC	Plastic/Polyethelene Insulated Cable [Telephony]
PIC	Position Independant Code
PIF	Paid In Full
PIT	Principal, Interest, and Taxes
PIXEL	PIcture ELement
PLA	Programmable Logic Array
PLATO	Programmed Learning for Automated Teaching Operations (U. Ill., early '70s)
PLC	Programmable Logic Controller
PLCC	Plastic Leaded Chip Carrier
PLL	Phase-Locked Loop
PLM	Programming Language for Microcomputers
PLO	Palestine (sic?) Liberation Organization (?)
PLO	Please Leave On
PLSS	Portable Life Support System [Space]
PM	PayMaster
PM	Police Magistrate
PM	Post Meridiem
PM	Post Meridiem (after noon)
PM	PostMaster
PM	PostMortem
PM	Pressurized Module [Space]
PM	Preventive Maintenance
PM	Prime Minister
PM	Provost Marshal
PMC	Permanently Manned Capability [Space]
PMIRR	Pressure Modulated InfraRed Radiometer (on Mars Observer) [Space]
PMO	Prime Minister's Office
PMOS	P channel Metal Oxide Semiconductor (P-MOS) (see MOS)
PMS	PreMenstrual Syndrome
PMT	PhotoMultiplier Tube
PM/X	Presentation Manager for X windows
PN	Promissory Note
PNP	Positive-Negative-Positive (transistor)
PO	Petty Officer
PO	Post Office
PO	Postal Order
PO	Purchase Order
POC	Port Of Call
POD	Pay On Delivery
POE	Port Of Embarkation
POE	Port Of Entry
POGO	Polar Orbiting Geophysical Observatory
POM	Phase Of Moon
